Accession	Name	Short Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms	Protein Accession	Protein Length	Matches
cd08367	P53 DNA-binding domain	P53	cdd	domain	IPR011615			p04637	393	109..288
G3DSA:2.60.40.720			cathgene3d	homologous_superfamily	IPR012346			p04637	393	95..294
G3DSA:4.10.170.10	p53-like tetramerisation domain		cathgene3d	homologous_superfamily	IPR036674			p04637	393	319..360
G3DSA:6.10.50.20			cathgene3d	homologous_superfamily				p04637	393	13..61
IPR002117	p53 tumour suppressor family	p53_tumour_suppressor	interpro	family		PTHR11447,PR00386	GO:0003677,GO:0003700,GO:0006355,GO:0006915,GO:0005634	p04637	393	3..369
IPR008967	p53-like transcription factor, DNA-binding domain superfamily	p53-like_TF_DNA-bd_sf	interpro	homologous_superfamily		SSF49417	GO:0003700,GO:0006355	p04637	393	97..287
IPR010991	p53, tetramerisation domain	p53_tetrameristn	interpro	domain		PF07710	GO:0051262	p04637	393	319..357
IPR011615	p53, DNA-binding domain	p53_DNA-bd	interpro	domain		cd08367,PF00870	GO:0000976	p04637	393	100..288
IPR012346	p53/RUNT-type transcription factor, DNA-binding domain superfamily	p53/RUNT-type_TF_DNA-bd_sf	interpro	homologous_superfamily		G3DSA:2.60.40.720	GO:0003677,GO:0003700,GO:0006355,GO:0005634	p04637	393	95..294
IPR013872	p53, transactivation domain	p53_transactivation_domain	interpro	domain		PF08563	GO:0005515	p04637	393	6..30
IPR036674	p53-like tetramerisation domain superfamily	p53_tetramer_sf	interpro	homologous_superfamily		G3DSA:4.10.170.10,SSF47719	GO:0051262	p04637	393	319..360
IPR040926	Cellular tumor antigen p53, transactivation domain 2	p53_TAD2	interpro	domain		PF18521		p04637	393	35..59
IPR057064	p53, central conserved site	P53_central_site	interpro	conserved_site		PS00348		p04637	393	237..249
PF00870	P53 DNA-binding domain	P53	pfam	domain	IPR011615			p04637	393	100..288
PF07710	P53 tetramerisation motif	P53_tetramer	pfam	conserved_site	IPR010991			p04637	393	319..357
PF08563	P53 transactivation motif	P53_TAD	pfam	conserved_site	IPR013872			p04637	393	6..30
PF18521	Transactivation domain 2	TAD2	pfam	conserved_site	IPR040926			p04637	393	35..59
PR00386	P53SUPPRESSR	P53SUPPRESSR	prints	family	IPR002117			p04637	393	116..142,158..179,213..234,236..258,264..286,326..350
PS00348	p53 family signature	P53	prosite	conserved_site	IPR057064			p04637	393	237..249
PTHR11447	CELLULAR TUMOR ANTIGEN P53		panther	family	IPR002117			p04637	393	3..369
SSF47719	p53 tetramerization domain		ssf	homologous_superfamily	IPR036674			p04637	393	319..357
SSF49417	p53-like transcription factors		ssf	homologous_superfamily	IPR008967			p04637	393	97..287
PF08563	P53 transactivation motif	P53_TAD	interpro-n	conserved_site	IPR013872			P04637	393	3..31
G3DSA:6.10.50.20			interpro-n	homologous_superfamily				P04637	393	14..61
PF18521	Transactivation domain 2	TAD2	interpro-n	conserved_site	IPR040926			P04637	393	34..59
G3DSA:2.60.40.720			interpro-n	homologous_superfamily	IPR012346			P04637	393	94..294
SSF49417	p53-like transcription factors		interpro-n	homologous_superfamily	IPR008967			P04637	393	97..287
PF00870	P53 DNA-binding domain	P53	interpro-n	domain	IPR011615			P04637	393	100..287
cd08367	P53 DNA-binding domain	P53	interpro-n	domain	IPR011615			P04637	393	109..288
PF07710	P53 tetramerisation motif	P53_tetramer	interpro-n	conserved_site	IPR010991			P04637	393	319..356
SSF47719	p53 tetramerization domain		interpro-n	homologous_superfamily	IPR036674			P04637	393	319..356
G3DSA:4.10.170.10	p53-like tetramerisation domain		interpro-n	homologous_superfamily	IPR036674			P04637	393	319..358
PTHR11447	CELLULAR TUMOR ANTIGEN P53		interpro-n	family	IPR002117			P04637	393	3..366
PR00386		P53SUPPRESSR	interpro-n	family	IPR002117			P04637	393	116..142,158..179,213..234,236..258,264..286,325..351
PS00348	p53 family signature	P53	interpro-n	conserved_site	IPR057064			P04637	393	237..249
mobidb-lite			mobidblt					P04637	393	50..96,69..90,282..299,282..325,351..393,365..384
G3DSA:2.60.40.720:FF:000003			funfam					P04637	393	94..294
G3DSA:4.10.170.10:FF:000003			funfam					P04637	393	319..360
